id,neighbourhood_cleansed,room_type_simple,accommodates,bedrooms,price_clean,price_category,latitude,longitude,review_scores_rating,number_of_reviews,host_is_superhost
1440113556975472910,Copacabana,Casa/Apto Inteiro,2,1.0,290.0,Baixo,-22.96755,-43.18327,5.0,1,t
36712053,Ipanema,Casa/Apto Inteiro,10,3.0,3143.0,Alto,-22.98438,-43.19466,4.71,24,f
13874616,Vargem Grande,Casa/Apto Inteiro,1,1.0,288.0,Baixo,-22.99238,-43.49397,,0,f
671020251646674081,Recreio dos Bandeirantes,Quarto Privado,2,1.0,200.0,Baixo,-23.02178,-43.48578,5.0,1,f
1319505890610142894,Catete,Casa/Apto Inteiro,3,2.0,266.0,Baixo,-22.92891,-43.17719,5.0,7,f
19938363,Copacabana,Casa/Apto Inteiro,4,2.0,159.0,Baixo,-22.97656,-43.19003,4.77,61,t
1084552250932940410,Copacabana,Quarto Privado,2,2.0,339.0,Médio-Baixo,-22.97648762544149,-43.1893801689148,5.0,1,f
1158453524867192760,Jardim Guanabara,Casa/Apto Inteiro,8,3.0,1080.0,Médio,-22.810544938598152,-43.20901828343703,,0,f
54028576,Barra da Tijuca,Casa/Apto Inteiro,3,1.0,245.0,Baixo,-22.99677,-43.37701,4.97,31,f
3345093,Joá,Casa/Apto Inteiro,14,5.0,6527.0,Muito Alto,-23.01298,-43.29039,,0,f
1362877786284191580,Ipanema,Casa/Apto Inteiro,4,2.0,2240.0,Alto,-22.9870628,-43.1970154,5.0,1,f
2011161,Botafogo,Casa/Apto Inteiro,5,0.0,203.0,Baixo,-22.94896,-43.18371,4.93,421,t
